100 100 1;300 50 100;164022958	2	1	local_optima	5858	OK	44	0.56000	1101100110001101101001100010000001010000010001100010001110110101000101011110101010001000101110101100
100 100 1;300 50 100;164022958	2	1	directed_bfs	12453	OK	92	0.08000	1101100111111111111011111111011111111111111111101111111110111111110111111111111111111111111111111111
100 100 1;300 50 100;164022958	2	1	mf_dinic_100	6424	OK	44	0.56000	1101100110001101101001100010000001010000010001100010001110110101000101011110101010001000101110101100
100 100 1;300 50 100;164022958	2	1	ff_dinic_434	11520	OK	58	0.42000	1101100110001111111001100010000001010110110101100010101110110101110101111111101010001010101110111101
200 500 1;300 50 100;206720097	2	1	local_optima	69650	OK	204	0.59200	00110100011100110100001100100100011000110000011011011101010110110110000001011010000001111001001111101000010010001001110100011110000001100111001000011010011001001011011000100011100001000011100111100100010001110111000000111000011000111010000100001110010110000000110110000000100100100000000010010001110100010100100001000001100111000010000111111010100001110000101110100000100110111100110001001010000010001100010100000011100011111001100000100001100010000100000110011010000110101011111001101001100000101010
200 500 1;300 50 100;206720097	2	1	directed_bfs	1213243	OK	474	0.05200	00110111011111111111111110111111111111111111111111111111111111111111111111111111111011111111111111111111111111111111110111111111111111111111111011011111111011111111111111111011111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111110101111111111111111111101111111011111111111111111111111111111101111111111111111111111111111111111101111111111111111111111011111011110111111111111111111111111111111110111111111111101101111011111111111111111111111111101111111111111
200 500 1;300 50 100;206720097	2	1	mf_dinic_200	73600	OK	208	0.58400	00110100011100110100001100100100011000110000011011011101010110110110100001011010000001111001001111101000010010001001110100011110000001100111001000011010011001001011011000100011100001000011100111100100010001110111100000111000011000111010000100001110010110000000110110000000100100100000000010010001110100010100100001000001100111000010000111111010100001110000101110100000100110111100110001001010000010001100010100000011100011111001100000100001100010000100001110011010000110101011111101101001100000101010
200 500 1;300 50 100;206720097	2	1	ff_dinic_4167	227982	OK	272	0.45600	00110110011101110100001100100100011000110000011011011101010110110110100001011010000001111001001111101100010010011001110110011110000001111111001000011010011001001111111011100011110001000011100111100100010001110111100000111001111000111110001100001111011110000101110110000000100100100000000010010101110100010110100001001001101111011010000111111010101001111010111111101110100111111111111101101010001010001100110101110111101111111001101001100101110110000101101111011110010110111111111101111001101010101110
100 300 1;300 50 100;182024027	3	1	local_optima	23329	OK	131	0.56333	011000010000100110001100110110110100111001010000011101101010110011100000011001101111101101110100110100011001011001001001110000001101001011010101000100000100100001000000101011100110101100100010000010110010101011111000000100010101010010011110101011100010110011000001001011010101101011000001001000100001
100 300 1;300 50 100;182024027	3	1	directed_bfs	300046	OK	275	0.08333	111110010101101110001111111111110111111111111111111101101111111111111111111111111111111111111101111111111111111111111101111111101111111011111111111111111111111011111111111111111110111110111111111111111111101011111111111111111111111111111111111111111111110111111111011011110111111111111111111111110111
