100 500 1;300 50 100;226522771	2	1	local_optima	50081	215	0.57000	10000001100100011100100001100110110010101000000101100000001100100001010100101110010010000100111000111101011010010110000100111001110010101000101010101001010011000110000110001100010100000110111100111001100000101011001011010110101101110110010000100011111011001100101001010011101001100000001010101101001101011001010111110100101011011100000010101000001000100001100000110101110000010100100010000111110010101000101000111010010010100010110110101000001000111000101000110011101000110110000001000001010101010011
100 500 1;300 50 100;226522771	2	1	directed_bfs	1678005	474	0.05200	10101101111110111110110111111111111111111111101101101111111111111111110111111110111111111101111011111111011111111111111111111111110011111111111111111111111111111110110111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111010011111110111111101111111111111111111111111111111111111111011111111111111111111111
100 500 1;300 50 100;226522771	2	1	mf_dinic_100	51865	227	0.54600	10000001100100011100100001100110110110101000000101100000001100100001010100101110010010000100111000111101011010010110000100111001110010101000101010101001010011001110000110001100010100000110111100111001100000101011001011010110101101110110010000100011111011001100101001010011101001100000001010101101001101011001110111110100101011011100000010101000001100100001100000110101110010010101100011010111111010101000101000111010010010100110110110101000001000111000101000110011101000110110000001100001011101010011
100 500 1;300 50 100;226522771	2	1	ff_dinic_2805	194368	292	0.41600	10000001110100011100100101101111111110101000000101100000001111101111010100111110010010101100111000111101011010110111011110111001110011101000111010101001010111011110000110001101111100010111111100111001110000101111001011010111111101110110010010110011111011101100101001110011101011100000001110111111101101011001110111110100101011011101100010101010101101100001100000110101110010011101100111110111111010101100101100111010010010100110110110101110111010111000111000111011111001110110011101110101011101110011
200 500 1;300 50 100;226731667	3	3	local_optima	77480	198	0.60400	00000000110011111101101100110101110100111100000001000011010000100100010100100001010001110001011100010000000101010000001100001000000111000000101010010010011100010001010000000000111010011110101100100010100001010011000011101111000110001100100010000111110001000001000110101110100001001110000001010010101011001010101001101000110000100110100010000100010111001000000001001000010101110001100100100011100010000100000010001000100110101101001101010001101110100011000110001001101010100100011111011101100010110001
200 500 1;300 50 100;226731667	3	3	directed_bfs	1138861	459	0.08200	00101001110011111111111111111111111110111111110001011111111111111111111101100111111111111111111100111111110111011111111111111111111111011111111111011111011111111101011111111111111111111110111111111111111011111111111111111111111111111101111110001111111111111111111111101111111111111111111111110111111111101011111111111111111111111111111111011101111111111111111011111111111111111111111111111111111111101111111111111110111111111111111111111111111111111111111111111111111111111110111111111111111110111111
200 500 1;300 50 100;226731667	3	3	mf_dinic_600	89748	243	0.51400	00001000110011111111101100110111110100111100000001000011010000101101010100100001010001110011011100010001000101010001001101001000000111000101101011010010011110010001010000010000111010011110101100101011101001011011000011111111000110001100100110000111110001111001000110101110100001011110000001010010101011001010101001101010110001100111100110000100010111001000110001001000011111110011100100100011100010000100100010001000101110101111111101010101101110101011100110001001101010111110011111111101100010110001
200 500 1;300 50 100;226731667	3	3	ff_dinic_5356	346968	264	0.47200	00001000110011111111111100110111110100111100000001000011010000101101010101100111010101110011011100010011000101010001101101001000100111000101111011010110011110010001010000011000111010011110101100101011101001011011001011111111000110001100100110000111110001111001000110101110100001011110100001010010101011001010101001101010110001100111100110001100010111001000110001001000111111110011100100100011100010100110100010001000111110111111111101010101101110101011100110001001101010111110011111111101100010111101
100 300 1;300 50 100;217550686	1	1	local_optima	25038	138	0.54000	101111000010110001101000101100010011010010110011011101010011100101010001111010000010011001010011010110111110011010101001000001101111001100100000000110001001100111111001110000101000000101110100100100010010001100000111100000011100101001011011001100001000011011101111011100100001011110001100011000011001
100 300 1;300 50 100;217550686	1	1	directed_bfs	318434	285	0.05000	111111111111110111111111111111111111111111111111011111111111111111111111111111111111111111011111111110111111111111111111111111111111111111110111110111011111111111111011111111111111101111111111111111111111111111111111111111111111101111111111111111111111111111101111011110111111011111111110111111111111
100 300 1;300 50 100;217550686	1	1	mf_dinic_100	26761	151	0.49667	111111000010110001101000101100010011111010110011011101010011100111010001111010000010011101010011010110111110011011101111000001101111001100100000000110001001100111111001110010101001000101110100100100010010001100000111100000011100101001011011001100101000111011101111011110100001011110001100011000011001
100 300 1;300 50 100;217550686	1	1	ff_dinic_1975	104090	201	0.33000	111111000110110001101110111101010111111011111011011111011011100111110001111010010110011111010011010110111111111111101111001011101111101110100001000110001101100111111011111110111001000111110110101101010010001101010111110111011110101001011011001101111010111111101111011110111101011110011100011010111111
100 500 1;300 50 100;256629840	3	3	local_optima	55618	212	0.57600	00000101001001000100011011100000010100110000100100000101001111010001010010110001110000101010100101000101101101000010100001000010010000000001011101000100100001010010101111110100010010010011010010001100111101010010000010001001001000101000001011110100001010000110110110100011001101110010001110000011100100010100111100111000101010011111000110000000010001011011010100100000001111010001010011110000111001010100011100000010010010011010000011110110111001101110100100110111000111001110000110111000011111011100
100 500 1;300 50 100;256629840	3	3	directed_bfs	1527677	461	0.07800	10011101111111100110111011111100111100111110101111011111011111011111110111111111111111111111110111111111111111011110111101111110111111010111111111111111111111111111111111111111111111111111110111111101111111111111111111101111011111101011111111111111101111111111111111111111111111111011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111110111011111111111111111111111111111011111110111111111111111111111111011111111110111111111111
100 500 1;300 50 100;256629840	3	3	mf_dinic_300	62381	237	0.52600	00000101001001000100011011100000010100110010101100000101001111010001110110110001110001101110100101000101111101000010100001000010010000000001011101000100100101010010111111110101010110010011010010001100111111010010000110001001001000101000001011110100001010010111110110100011001101110010101110000011100100010100111110111000101010011111000110100001010001011011010100100010001111010001010011110000111001010100011100010010010110011011000011111110111001101110100100110111000111001110001110111000011111011100
100 500 1;300 50 100;256629840	3	3	ff_dinic_3234	243601	282	0.43600	00000101001011100100111011101100010100110010101111000111001111010101110110110101110001111110100101100101111101000010100001000010010100000101011101110100101101010011111111110101010110110111010010101100111111011010110110001001001100101000001011110100001110010111110110100111111101110010101110000011100110010110111111111110111010011111000110100011010011011011010100101010001111010001010111110010111001010110111100010010010110011011010011111110111001101110100110110111010111001110001110111000011111011100
200 500 1;300 50 100;192163091	2	2	local_optima	81965	227	0.54600	10100100110111011011100111111001001001011111101100100000000010101111010000110011011001111001000000001101001110001101100010000001010100001011100111110010010001000001001101001101110001011010111001111100010001101111000010011100001001110110010100010010000101110000001001101011000011101100101011010100101100101100101010110100100010001100010000010010010111010000000001110011101100011100011001110011001101001011001100110110001010001000101000111010010000011011000000010010001110100010011101100101101010101011
200 500 1;300 50 100;192163091	2	2	directed_bfs	1854136	480	0.04000	11111110111111111111111111111111111111111111111111110111111111111111111111111111111101111111111111111111111111111111111111111111110111011111111111111111111111111111111111111111111111111110111111111110111111111111110111111111111111111111111101111111111111111110111111111111110111111111111111111111111111111111101011111111101111011111111111111111111111111111101111111111111111111111111111111011111111111011111111111111111111111111111111111111111111111111011111111111111111111111111111111111111111111011
