2|KCMC;100 100 1;300 50 100;147946681;END|(K1M1)
3|KCMC;100 100 1;300 50 100;147946681;END|(K1M1)
6|KCMC;100 100 1;300 50 100;147974121;END|(K1M1)
7|KCMC;100 100 1;300 50 100;147974121;END|(K1M1)
12|KCMC;100 100 1;300 50 100;148053036;END|(K1M1)
13|KCMC;100 100 1;300 50 100;148053036;END|(K1M1)
104|KCMC;100 100 1;300 50 100;235704359;END|(K3M3)
105|KCMC;100 100 1;300 50 100;235704359;END|(K3M3)
132|KCMC;100 300 1;300 50 100;179561007;END|(K2M2)
133|KCMC;100 300 1;300 50 100;179561007;END|(K2M2)
136|KCMC;100 300 1;300 50 100;179624666;END|(K2M2)
137|KCMC;100 300 1;300 50 100;179624666;END|(K2M2)
142|KCMC;100 300 1;300 50 100;179708997;END|(K2M2)
143|KCMC;100 300 1;300 50 100;179708997;END|(K2M2)
150|KCMC;100 300 1;300 50 100;179735151;END|(K2M2)
151|KCMC;100 300 1;300 50 100;179735151;END|(K2M2)
202|KCMC;100 300 1;300 50 100;204994194;END|(K3M3)
203|KCMC;100 300 1;300 50 100;204994194;END|(K3M3)
212|KCMC;100 300 1;300 50 100;205117521;END|(K3M3)
213|KCMC;100 300 1;300 50 100;205117521;END|(K3M3)
332|KCMC;100 500 1;300 50 100;228986154;END|(K3M1)
333|KCMC;100 500 1;300 50 100;228986154;END|(K3M1)
364|KCMC;100 500 1;300 50 100;256413511;END|(K3M3)
365|KCMC;100 500 1;300 50 100;256413511;END|(K3M3)
368|KCMC;100 500 1;300 50 100;256513135;END|(K3M3)
369|KCMC;100 500 1;300 50 100;256513135;END|(K3M3)
398|KCMC;200 100 1;300 50 100;143762872;END|(K2M1)
399|KCMC;200 100 1;300 50 100;143762872;END|(K2M1)
402|KCMC;200 100 1;300 50 100;143861160;END|(K2M1)
403|KCMC;200 100 1;300 50 100;143861160;END|(K2M1)
428|KCMC;200 100 1;300 50 100;146901233;END|(K3M3)
429|KCMC;200 100 1;300 50 100;146901233;END|(K3M3)
432|KCMC;200 100 1;300 50 100;146956293;END|(K3M3)
433|KCMC;200 100 1;300 50 100;146956293;END|(K3M3)
556|KCMC;200 300 1;300 50 100;184827184;END|(K2M2)
557|KCMC;200 300 1;300 50 100;184827184;END|(K2M2)
560|KCMC;200 300 1;300 50 100;184874562;END|(K2M2)
561|KCMC;200 300 1;300 50 100;184874562;END|(K2M2)
606|KCMC;200 300 1;300 50 100;256556513;END|(K3M3)
607|KCMC;200 300 1;300 50 100;256556513;END|(K3M3)
610|KCMC;200 300 1;300 50 100;256586341;END|(K3M3)
611|KCMC;200 300 1;300 50 100;256586341;END|(K3M3)
682|KCMC;200 500 1;300 50 100;192392347;END|(K2M2)
683|KCMC;200 500 1;300 50 100;192392347;END|(K2M2)
688|KCMC;200 500 1;300 50 100;206703304;END|(K2M1)
689|KCMC;200 500 1;300 50 100;206703304;END|(K2M1)
692|KCMC;200 500 1;300 50 100;206720097;END|(K2M1)
693|KCMC;200 500 1;300 50 100;206720097;END|(K2M1)
716|KCMC;200 500 1;300 50 100;216955791;END|(K3M1)
717|KCMC;200 500 1;300 50 100;216955791;END|(K3M1)
